FID,OBJECTID,Struct_ID,Source_ID,FR_TOT,AEP_TOT,SV_TOT,FDP_TOT,R_SCORE,SHAPE_Length,SHAPE_Area,lat,lon
0,0,158727,158727,0,0,,0,0,0.000464641,1.21138E-08,39.71961872,-105.045399
1,1,157256,157256,44,90,,7.4,47.76,0.000443504,1.04426E-08,39.718793,-105.0430398
2,2,152931,152931,0,0,,0,0,0.000491086,1.25585E-08,39.71569267,-105.0447704
3,3,153173,153173,0,0,,0,0,0.000533015,1.63353E-08,39.71583187,-105.0447952
4,4,150522,150522,0,0,,0,0,0.000546183,1.67298E-08,39.71423601,-105.0435171
5,5,150812,150812,0,0,,0,0,0.000548917,1.49736E-08,39.71437437,-105.0435177
6,6,160866,160866,0,0,,0,0,0.000358826,7.01702E-09,39.72083745,-105.0381527
7,7,160352,160352,0,0,,0,0,0.000358453,6.88209E-09,39.72057876,-105.0387582
8,8,159778,159778,20,2,,16.8,11.52,0.00039695,8.29445E-09,39.72021388,-105.0387478
9,9,159259,159259,44,70,,48.4,56.16,0.000521848,1.4396E-08,39.71992436,-105.0394286
10,10,159787,159787,0,0,,0,0,0.000510429,1.35183E-08,39.72019729,-105.0394308
11,11,159537,159537,20,0,,16.8,10.72,0.000409499,8.7757E-09,39.72010628,-105.0399908
12,12,159370,159370,20,0,,16.8,10.72,0.00047527,8.9581E-09,39.72000365,-105.040626
13,13,159848,159848,0,0,,0,0,0.00040841,8.20616E-09,39.72026253,-105.0406245
14,14,159209,159209,20,5,,23.2,15.28,0.000525551,1.29625E-08,39.71991352,-105.0411927
15,15,159478,159478,0,0,,0,0,0.00057238,1.88701E-08,39.7200558,-105.0418211
16,16,159188,159188,0,0,,0,0,0.00068123,1.54407E-08,39.71991681,-105.042461
17,17,159195,159195,0,0,,0,0,0.000425739,9.45767E-09,39.71991251,-105.042791
18,18,157177,157177,50,99,,48.4,68.96,0.000426945,1.01983E-08,39.71872743,-105.0447434
19,19,157587,157587,20,2,,16.8,11.52,0.000456323,1.10121E-08,39.71893748,-105.0442529
20,20,158674,158674,0,0,,0,0,0.000473674,1.11047E-08,39.71955356,-105.0435125
